"condition","subject","session","cycle","trial","test","stimulus","category","response","dangerous","nutricious","correct","cumulative","RT","motivation","competence","communication","complement","mean_correct"
1,3,1,2,36,0,"10110.jpg",4,4,1,1,1,1000,9675,2,2.5,3,3.5,0.84
1,3,1,2,37,0,"11111.jpg",4,4,1,1,1,1100,9353,2,2.5,3,3.5,0.8
1,3,1,2,38,0,"01011.jpg",2,2,0,1,1,1200,6162,2,2.5,3,3.5,0.76
1,3,1,2,39,0,"00100.jpg",1,1,0,0,1,1300,9252,2,2.5,3,3.5,0.72
1,3,1,2,40,0,"01000.jpg",1,1,0,0,1,1400,5148,2,2.5,3,3.5,0.92
1,3,1,2,41,0,"01110.jpg",2,2,0,1,1,1500,4694,2,2.5,3,3.5,0.84
1,3,1,2,42,0,"00010.jpg",2,2,0,1,1,1600,3972,2,2.5,3,3.5,0.84
1,3,1,2,43,0,"00110.jpg",2,4,0,1,0,1500,14388,2,2.5,3,3.5,0.76
1,3,1,2,44,0,"11110.jpg",4,4,1,1,1,1600,3574,2,2.5,3,3.5,0.84
1,3,1,2,45,0,"11011.jpg",2,4,0,1,0,1500,9975,2,2.5,3,3.5,0.72
1,3,1,2,46,0,"10011.jpg",2,2,0,1,1,1600,3016,2,2.5,3,3.5,0.88
1,3,1,2,47,0,"10110.jpg",4,4,1,1,1,1700,2488,2,2.5,3,3.5,0.8
1,3,1,2,48,0,"01101.jpg",1,2,0,0,0,1600,10260,2,2.5,3,3.5,0.88
1,3,1,2,49,0,"01001.jpg",1,1,0,0,1,1700,2939,2,2.5,3,3.5,0.92
1,3,1,2,50,0,"00001.jpg",1,1,0,0,1,1800,3254,2,2.5,3,3.5,0.88
1,3,1,2,51,0,"00100.jpg",1,2,0,0,0,1700,3716,2,2.5,3,3.5,0.8
1,3,1,2,52,0,"10001.jpg",1,2,0,0,0,1600,5848,2,2.5,3,3.5,0.76
1,3,1,2,53,0,"01010.jpg",2,2,0,1,1,1700,4566,2,2.5,3,3.5,0.84
1,3,1,2,54,0,"10110.jpg",4,4,1,1,1,1800,3745,2,2.5,3,3.5,0.88
